issue	area	type_label_state	title
#71	git_branch_repo_hygiene	type:bugfix	Fix root routing for /srv/bears/kubernetes child repo work
#72	git_branch_repo_hygiene	type:bugfix	Validate memory citation relevance in final reports
#73	role_gate_coverage	type:bugfix	Add role coverage for auth runtime contract tests
#75	uncategorized	type:bugfix	Guard proof-contract schema changes from bounded bugfix exception
#76	parallelization_preflight	type:bugfix	Standardize backend-only parallel subagent prompt guard
#77	merge_handoff_gate	type:bugfix	Normalize unittest validation commands in role-gate handoffs
#78	parallelization_preflight	type:bugfix	Enforce role gate before task-ledger subagent delegation
#79	parallelization_preflight	type:bugfix	Sync tenant-registry role with callable subagent registry
#80	role_gate_coverage	type:bugfix	Add role coverage preflight for runtime-service tests
#82	merge_handoff_gate	type:bugfix	Run raw endpoint/CIDR literal gate before static-packet merge
#83	parallelization_preflight	type:bugfix	Preflight subagent templates against model capability before spawn_agent
#84	merge_handoff_gate	type:idea	Document fork-context spawn_agent inheritance rule in subagent handoffs
#85	role_gate_coverage	type:bugfix	Add role-gate source freshness preflight before blocker decisions
#86	uncategorized	type:bugfix	Add stale tool-schema checkpoint after agent registration sync
#87	git_branch_repo_hygiene	type:bugfix	Isolate parallel subagents from shared submodule checkout mutations
#88	git_branch_repo_hygiene	type:bugfix	Require branch-base preflight before subagent implementation branches
#89	parallelization_preflight	type:bugfix	Split mixed-role task targets before specialist subagent delegation
#90	git_branch_repo_hygiene	type:bugfix	Constrain PR-review subagents to assigned repo and bounded worktree
#91	github_issue_dev_cd	type:develop-ready	Enforce remediation issue creation for audit hard-stop findings
#92	uncategorized	type:develop-ready	Make CI validation matrix match AGENTS validation contract
#93	uncategorized	type:develop-ready	Fix README SPEC drift
#94	uncategorized	type:develop-ready	Fix lifecycle parity drift
#95	parallelization_preflight	type:bugfix	Avoid credential-surface output in subagent publish preflights
#96	validation_overlay	type:develop-ready	Align validation hook runner with canonical validator contract
#97	role_gate_coverage	type:bugfix	Add role coverage for live Telegram approval artifacts
#99	parallelization_preflight	type:bugfix	Enforce English closeout artifacts for Bears subagents
#100	merge_handoff_gate	type:bugfix	Use supported GitHub CLI flags in PR-review subagents
#101	merge_handoff_gate	type:bugfix	Require authenticated GitHub access in PR-review subagents
#102	git_branch_repo_hygiene	type:bugfix	Normalize clean worktree paths in Bears role gates
#103	parallelization_preflight	type:develop-ready	Classify no eligible subagent task separately from blockers
#104	merge_handoff_gate	type:bugfix	Make inline PR-review assertions fail with nonzero exits
#105	merge_handoff_gate	type:bugfix	Classify empty GitHub check rollups before merge
#106	secret_factory	type:bugfix	Constrain secret discovery to allowlisted paths
#107	validation_overlay	type:bugfix	Verify validator CLI shapes before first execution
#108	merge_handoff_gate	type:bugfix	Reject stdin-swallowing here-doc pipelines in review checks
#109	uncategorized	type:bugfix	Fail validation commands when captured rc is nonzero
#110	uncategorized	type:develop-ready	Sync requirements and inventory tests with active governance surfaces
#111	uncategorized	type:develop-ready	Clarify bears-sdd implement step as bounded delegated execution
#112	merge_handoff_gate	type:bugfix	Disallow orchestrator-profile subagents for leaf PR delivery
#113	merge_handoff_gate	type:bugfix	Validate subagent PR titles and commit messages
#114	merge_handoff_gate	type:develop-ready	Avoid false-positive manifest secret checks for Secret Factory governance
#115	git_branch_repo_hygiene	type:bugfix	Reject conditional MERGE_ALLOWED for outdated PR branches
#116	merge_handoff_gate	type:bugfix	Reject conditional MERGE_ALLOWED for draft PRs
#117	git_branch_repo_hygiene	type:develop-ready	Validate repo-local governance links and external source-boundary references
#118	github_issue_dev_cd	type:bugfix	Align issue template with agent pickup evidence
#119	merge_handoff_gate	type:bugfix	Reject PR mutation assignments to read-only reviewer roles
