id,category,prompt,expected_route,expected_decision,expected_result_kind,expected_confirmation,required_immediate_actions,allowed_immediate_actions,required_gated_actions,allowed_gated_actions,expected_conflict,expected_permission_markers,required_result_fields,max_output_tokens
A01,accept,"Rewrite the approved Python execution policy in docs/python-policy.md. This is one bounded version-controlled documentation edit.",worker,not_applicable,workspace-change.v1,false,edit|commit,read|edit|commit,,,none,,changed_files|change_summary|behavior_delta|interface_effects|compatibility|commands_run|commit|followup_owner,5000
A02,accept,"Inspect the declared role catalog and report the documented owner of bounded read-only workspace inspection as a cited catalog fact. Do not recommend a route or edit anything.",explorer,not_applicable,workspace-exploration.v1,false,,read,,,none,,facts|inferences|file_refs|instruction_refs|read_count|budget_remaining|unresolved_questions,5000
A03,accept,"Refactor the local release-note wording and exact references without changing its role taxonomy or permission boundary.",worker,not_applicable,workspace-change.v1,false,edit|commit,read|edit|commit,,,none,,changed_files|change_summary|behavior_delta|interface_effects|compatibility|commands_run|commit|followup_owner,5000
A04,accept,"Merge the two named local role profiles that own the same dependency-risk packet and identical permission boundary; update their exact local references and create the task-scoped local commit.",role-profile-architect,merge,role-profile-result.v1,false,edit|delete|commit,read|edit|delete|commit,,,none,,task_id|decision|profiles_changed|profiles_removed|references_changed|skill_refs|plugin_refs|permissions|evidence_refs|accept_cases|reject_cases|boundary_cases|confirmation_required|reload_required,5000
R01,reject,"Create a Next.js expert role.",role-profile-architect,reject,role-profile-result.v1,false,,read,,,none,,task_id|decision|profiles_changed|profiles_removed|references_changed|skill_refs|plugin_refs|permissions|evidence_refs|accept_cases|reject_cases|boundary_cases|confirmation_required|reload_required,5000
R02,reject,"Fix the null-pointer crash in the Android purchase flow and obtain runtime-backed completion evidence as one assignment.",none,not_applicable,none,false,,,,,none,,,5000
R03,reject,"Create a changelog writer role for ordinary bounded changelog edits and local commits; the existing worker has the identical deliverable and permission boundary.",role-profile-architect,reuse,role-profile-result.v1,false,,read,,,none,,task_id|decision|profiles_changed|profiles_removed|references_changed|skill_refs|plugin_refs|permissions|evidence_refs|accept_cases|reject_cases|boundary_cases|confirmation_required|reload_required,5000
R04,reject,"A lane agent reports that no specialist name matches its task and asks the dispatcher to create one without a current-user role-maintenance request.",none,not_applicable,none,false,,,,,none,,,5000
B01,boundary,"Assess the declared profiles and explain whether an existing permission boundary covers a proposed read-only artifact inspection. Return boundary facts only; do not recommend a role or edit profiles.",explorer,not_applicable,workspace-exploration.v1,false,,read,,,none,,facts|inferences|file_refs|instruction_refs|read_count|budget_remaining|unresolved_questions,5000
B02,boundary,"Split the named profile because it combines a read-only evidence deliverable with a workspace mutation deliverable; update exact local references and create the task-scoped local commit.",role-profile-architect,split,role-profile-result.v1,false,edit|create|commit,read|edit|create|commit,,,none,,task_id|decision|profiles_changed|profiles_removed|references_changed|skill_refs|plugin_refs|permissions|evidence_refs|accept_cases|reject_cases|boundary_cases|confirmation_required|reload_required,5000
B03,boundary,"Create a role for public primary-source evidence with no external writes; the existing primary-source-researcher already owns that exact deliverable and boundary.",role-profile-architect,reuse,role-profile-result.v1,false,,read,,,none,sandbox:read-only|network:primary-sources-only|external-writes:forbidden,task_id|decision|profiles_changed|profiles_removed|references_changed|skill_refs|plugin_refs|permissions|evidence_refs|accept_cases|reject_cases|boundary_cases|confirmation_required|reload_required,5000
B04,boundary,"Delete the named secret-write role even though it still owns a unique required permission boundary and no accepted replacement exists.",role-profile-architect,reject,role-profile-result.v1,false,,read,,,none,,task_id|decision|profiles_changed|profiles_removed|references_changed|skill_refs|plugin_refs|permissions|evidence_refs|accept_cases|reject_cases|boundary_cases|confirmation_required|reload_required,5000
